Label,Type,Value,Unit
Brachycentridae,Distance,2.04,mm
Brachycentridae,Perimeter,2.57,mm
Brachycentridae,Perimeter,1.98,mm
Brachycentridae,Perimeter,2.28,mm
Brachycentridae,Perimeter,2.31,mm
Brachycentridae,Perimeter,2.31,mm
Brachycentridae,Distance,1.61,mm
Brachycentridae,Perimeter,1.54,mm
Brachycentridae,Perimeter,2.21,mm
Brachycentridae,Distance,2.48,mm
Brachycentridae,Distance,1.95,mm
Brachycentridae,Distance,2.53,mm
Brachycentridae,Distance,1.51,mm
Brachycentridae,Perimeter,2.4,mm
Brachycentridae,Distance,1.79,mm
Brachycentridae,Distance,1.91,mm
