Label,Type,Value,Unit
Planariidae,Distance,2.26,mm
Planariidae,Distance,3.24,mm
Planariidae,Perimeter,4,mm
Planariidae,Perimeter,3.87,mm
Planariidae,Distance,2.27,mm
