Label,Type,Value,Unit,
"Chironomidae",Perimeter,"2.42","mm"
"Chironomidae",Perimeter,"5.18","mm"
"Chironomidae",Perimeter,"4.88","mm"
"Chironomidae",Perimeter,"5.83","mm"
"Chironomidae",Perimeter,"6.50","mm"
"Chironomidae",Perimeter,"4.64","mm"
"Chironomidae",Perimeter,"2.45","mm"
"Chironomidae",Perimeter,"3.04","mm"
"Chironomidae",Perimeter,"2.09","mm"
"Chironomidae",Perimeter,"4.07","mm"
"Chironomidae",Perimeter,"3.47","mm"
"Chironomidae",Perimeter,"3.82","mm"
"Chironomidae",Perimeter,"3.82","mm"
