Label,Type,Value,Unit,
"Simulidae",Perimeter,"2.18","mm"
"Simulidae",Perimeter,"1.72","mm"
"Simulidae",Perimeter,"1.99","mm"
"Simulidae",Perimeter,"1.91","mm"
"Simulidae",Perimeter,"1.77","mm"
"Simulidae",Perimeter,"1.63","mm"
"Simulidae",Perimeter,"1.96","mm"
"Simulidae",Perimeter,"2.32","mm"
"Simulidae",Perimeter,"1.98","mm"
"Simulidae",Perimeter,"1.77","mm"
"Simulidae",Perimeter,"1.99","mm"
"Simulidae",Perimeter,"2.04","mm"
"Simulidae",Perimeter,"2.31","mm"
"Simulidae",Perimeter,"1.85","mm"
"Simulidae",Perimeter,"1.66","mm"
"Simulidae",Perimeter,"1.68","mm"
"Simulidae",Perimeter,"1.53","mm"
"Simulidae",Perimeter,"1.52","mm"
