Label,Type,Value,Unit
Ephemerellidae,Distance,3.28,mm
Ephemerellidae,Distance,2.62,mm
Ephemerellidae,Perimeter,3.99,mm
Ephemerellidae,Distance,7.97,mm
Ephemerellidae,Distance,4.15,mm
Ephemerellidae,Distance,3.4,mm
Ephemerellidae,Distance,3.19,mm
Ephemerellidae,Perimeter,4.04,mm
Ephemerellidae,Distance,3.88,mm
Ephemerellidae,Distance,5.55,mm
Ephemerellidae,Distance,8.56,mm
Ephemerellidae,Perimeter,3.11,mm
Ephemerellidae,Distance,4.25,mm
Ephemerellidae,Distance,3.93,mm
Ephemerellidae,Perimeter,4.02,mm
Ephemerellidae,Perimeter,4.41,mm
,Distance,35.47,in
