Label,Type,Value,Unit
Baetidae,Perimeter,3.23,mm
Baetidae,Distance,1.89,mm
Baetidae,Perimeter,1.77,mm
Baetidae,Perimeter,2.55,mm
Baetidae,Perimeter,2.49,mm
Baetidae,Distance,2,mm
Baetidae,Perimeter,2.27,mm
Baetidae,Distance,2.17,mm
Baetidae,Distance,5.4,mm
Baetidae,Perimeter,3.42,mm
Baetidae,Perimeter,3.98,mm
Baetidae,Distance,1.84,mm
Baetidae,Perimeter,2.18,mm
Baetidae,Perimeter,1.84,mm
Baetidae,Perimeter,1.98,mm
Baetidae,Perimeter,1.83,mm
Baetidae,Distance,2.58,mm
Baetidae,Distance,1.31,mm
Baetidae,Perimeter,1.91,mm
Baetidae,Perimeter,2.23,mm
Baetidae,Distance,1.72,mm
Baetidae,Perimeter,3.07,mm
Baetidae,Distance,2.57,mm
Baetidae,Perimeter,3.51,mm
Baetidae,Distance,2.35,mm
Baetidae,Perimeter,1.87,mm
Baetidae,Distance,2.01,mm
Baetidae,Perimeter,1.99,mm
Baetidae,Distance,1.8,mm
Baetidae,Perimeter,1.7,mm
Baetidae,Perimeter,2.26,mm
,Distance,35.94,in
