Label,Type,Value,Unit
Ephemerellidae,Distance,3.44,mm
Ephemerellidae,Perimeter,2.44,mm
Ephemerellidae,Perimeter,4.07,mm
Ephemerellidae,Distance,3.02,mm
Ephemerellidae,Perimeter,3.52,mm
Ephemerellidae,Perimeter,4.32,mm
Ephemerellidae,Perimeter,4.71,mm
Ephemerellidae,Perimeter,2.9,mm
Ephemerellidae,Perimeter,3.89,mm
Ephemerellidae,Distance,3.89,mm
Ephemerellidae,Distance,4.2,mm
Ephemerellidae,Distance,2.47,mm
Ephemerellidae,Distance,3.13,mm
Ephemerellidae,Distance,4.18,mm
Ephemerellidae,Distance,3.95,mm
Ephemerellidae,Distance,2.81,mm
Ephemerellidae,Distance,3.64,mm
Ephemerellidae,Distance,3.48,mm
Ephemerellidae,Distance,3.44,mm
Ephemerellidae,Distance,3.98,mm
,Distance,35.47,in
