Label,Type,Value,Unit
Baetidae,Perimeter,5.05,mm
Baetidae,Perimeter,6.17,mm
Baetidae,Distance,1.84,mm
Baetidae,Distance,1.63,mm
Baetidae,Perimeter,2.97,mm
Baetidae,Perimeter,2.68,mm
Baetidae,Perimeter,6.28,mm
Baetidae,Perimeter,3.08,mm
Baetidae,Perimeter,6.6,mm
Baetidae,Perimeter,2.49,mm
Baetidae,Perimeter,2.96,mm
Baetidae,Distance,1.93,mm
Baetidae,Perimeter,4.02,mm
Baetidae,Distance,2.1,mm
Baetidae,Distance,1.19,mm
Baetidae,Perimeter,1.89,mm
Baetidae,Distance,3.66,mm
Baetidae,Perimeter,1.12,mm
Baetidae,Perimeter,2.8,mm
Baetidae,Perimeter,1.98,mm
Baetidae,Perimeter,2.06,mm
Baetidae,Perimeter,2.03,mm
Baetidae,Distance,1.79,mm
Baetidae,Distance,3.98,mm
Baetidae,Perimeter,2.27,mm
Baetidae,Perimeter,1.03,mm
Baetidae,Perimeter,2.69,mm
Baetidae,Perimeter,1.61,mm
Baetidae,Perimeter,1.92,mm
Baetidae,Perimeter,3.02,mm
Baetidae,Perimeter,2.77,mm
Baetidae,Distance,1.38,mm
Baetidae,Perimeter,4.13,mm
Baetidae,Perimeter,2.19,mm
Baetidae,Perimeter,1.79,mm
Baetidae,Distance,0.99,mm
Baetidae,Perimeter,2.93,mm
Baetidae,Perimeter,4.04,mm
Baetidae,Distance,2.95,mm
Baetidae,Distance,2,mm
Baetidae,Distance,1.42,mm
Baetidae,Distance,2.65,mm
Baetidae,Perimeter,3.07,mm
Baetidae,Perimeter,2.41,mm
Baetidae,Perimeter,2.19,mm
Baetidae,Distance,1.74,mm
Baetidae,Perimeter,1.91,mm
Baetidae,Perimeter,1.63,mm
Baetidae,Perimeter,2.42,mm
Baetidae,Perimeter,2.03,mm
Baetidae,Perimeter,2.95,mm
Baetidae,Distance,1.09,mm
Baetidae,Perimeter,2.21,mm
Baetidae,Perimeter,1.43,mm
Baetidae,Perimeter,2.55,mm
,Distance,35.4,in
