Label,Type,Value,Unit
Brachycentridae,Distance,8.22,mm
Brachycentridae,Perimeter,2.91,mm
Brachycentridae,Perimeter,9.12,mm
Brachycentridae,Perimeter,9.91,mm
Brachycentridae,Distance,7.39,mm
Brachycentridae,Distance,3.04,mm
Brachycentridae,Distance,1.73,mm
Brachycentridae,Distance,1.91,mm
Brachycentridae,Distance,1.61,mm
Brachycentridae,Distance,1.58,mm
Brachycentridae,Distance,3.66,mm
Brachycentridae,Distance,2.14,mm
Brachycentridae,Distance,2.16,mm
Brachycentridae,Distance,3.96,mm
,Distance,10,mm
