Label,Type,Value,Unit
Heptageniidae,Distance,6.33,mm
Heptageniidae,Perimeter,3.04,mm
Heptageniidae,Perimeter,4.31,mm
Heptageniidae,Distance,5.75,mm
Heptageniidae,Perimeter,3.53,mm
Heptageniidae,Perimeter,4.16,mm
Heptageniidae,Perimeter,4.45,mm
Heptageniidae,Perimeter,4.2,mm
Heptageniidae,Distance,6.84,mm
Heptageniidae,Distance,3.8,mm
Heptageniidae,Distance,4.92,mm
Heptageniidae,Distance,4.66,mm
Heptageniidae,Distance,3.68,mm
Heptageniidae,Distance,4.89,mm
Heptageniidae,Distance,4.46,mm
Heptageniidae,Distance,3.13,mm
Heptageniidae,Distance,3.86,mm
Heptageniidae,Distance,4.15,mm
Heptageniidae,Distance,1.79,mm
Heptageniidae,Distance,4.56,mm
Heptageniidae,Distance,2.86,mm
,Distance,3.52,in
