Label,Type,Value,Unit
Baetidae,Perimeter,4.66,mm
Baetidae,Perimeter,2.92,mm
Baetidae,Perimeter,2.9,mm
Baetidae,Perimeter,2.58,mm
Baetidae,Perimeter,1.98,mm
Baetidae,Perimeter,1.99,mm
Baetidae,Perimeter,2.35,mm
Baetidae,Perimeter,1.92,mm
Baetidae,Perimeter,2.19,mm
Baetidae,Perimeter,2.3,mm
Baetidae,Perimeter,1.66,mm
Baetidae,Perimeter,2.02,mm
Baetidae,Perimeter,3.01,mm
Baetidae,Perimeter,3.16,mm
Baetidae,Perimeter,1.92,mm
Baetidae,Perimeter,2.33,mm
Baetidae,Perimeter,4.16,mm
Baetidae,Perimeter,1.91,mm
Baetidae,Perimeter,1.51,mm
,Distance,35.27,in
