Label,Type,Value,Unit
Baetidae,Perimeter,2.12,mm
Baetidae,Perimeter,3.06,mm
Baetidae,Perimeter,3.46,mm
Baetidae,Distance,2.81,mm
Baetidae,Perimeter,2.85,mm
Baetidae,Distance,3.3,mm
Baetidae,Perimeter,2.7,mm
Baetidae,Perimeter,2,mm
Baetidae,Perimeter,3.68,mm
Baetidae,Perimeter,3.26,mm
Baetidae,Perimeter,1.87,mm
Baetidae,Distance,1.45,mm
Baetidae,Perimeter,2.17,mm
Baetidae,Perimeter,2.06,mm
Baetidae,Distance,2.01,mm
Baetidae,Distance,2.25,mm
Baetidae,Distance,2.24,mm
Baetidae,Perimeter,3.29,mm
Baetidae,Perimeter,3.2,mm
Baetidae,Distance,2.18,mm
Baetidae,Distance,2.99,mm
Baetidae,Perimeter,3.12,mm
Baetidae,Perimeter,3.34,mm
Baetidae,Perimeter,3.13,mm
Baetidae,Perimeter,1.87,mm
Baetidae,Perimeter,2.02,mm
Baetidae,Perimeter,3.55,mm
Baetidae,Distance,1.4,mm
Baetidae,Distance,3.56,mm
Baetidae,Perimeter,2.46,mm
Baetidae,Distance,1.79,mm
Baetidae,Perimeter,1.7,mm
Baetidae,Perimeter,3.4,mm
Baetidae,Distance,1.81,mm
Baetidae,Distance,3.02,mm
,Distance,17.97,in
