Label,Type,Value,Unit
Platyhelminthes: Turbellaria,Distance,3.11,mm
Platyhelminthes: Turbellaria,Distance,2.33,mm
Platyhelminthes: Turbellaria,Distance,1.36,mm
Platyhelminthes: Turbellaria,Distance,2.32,mm
Platyhelminthes: Turbellaria,Distance,1.63,mm
Platyhelminthes: Turbellaria,Distance,1.86,mm
Platyhelminthes: Turbellaria,Distance,3.36,mm
Platyhelminthes: Turbellaria,Distance,3.26,mm
Platyhelminthes: Turbellaria,Distance,2.28,mm
Platyhelminthes: Turbellaria,Distance,2.26,mm
Platyhelminthes: Turbellaria,Distance,2.84,mm
Platyhelminthes: Turbellaria,Distance,4.08,mm
Platyhelminthes: Turbellaria,Distance,1.68,mm
Platyhelminthes: Turbellaria,Distance,1.89,mm
Platyhelminthes: Turbellaria,Distance,2.49,mm
Platyhelminthes: Turbellaria,Distance,2.04,mm
Platyhelminthes: Turbellaria,Distance,1.78,mm
,Distance,35.74,in
