Label,Type,Value,Unit
Ephemerellidae,Perimeter,3.42,mm
Baetidae,Perimeter,2.91,mm
Ephemerellidae,Perimeter,4.27,mm
Ephemerellidae,Distance,4.22,mm
Ephemerellidae,Perimeter,4.58,mm
Ephemerellidae,Perimeter,3.12,mm
Ephemerellidae,Perimeter,5.07,mm
Ephemerellidae,Perimeter,3.86,mm
Ephemerellidae,Perimeter,6.83,mm
Ephemerellidae,Perimeter,2.87,mm
Ephemerellidae,Perimeter,3.84,mm
Ephemerellidae,Perimeter,2.83,mm
Ephemerellidae,Perimeter,3.57,mm
Ephemerellidae,Perimeter,3.76,mm
Ephemerellidae,Perimeter,6.26,mm
