Label,Type,Value,Unit
Baetidae,Distance,7.28,mm
Baetidae,Perimeter,2.11,mm
Baetidae,Perimeter,3.29,mm
Baetidae,Perimeter,3.6,mm
Baetidae,Perimeter,3.6,mm
Baetidae,Perimeter,1.95,mm
Baetidae,Perimeter,1.54,mm
Baetidae,Perimeter,3.05,mm
Baetidae,Perimeter,2.37,mm
Baetidae,Distance,2.07,mm
Baetidae,Distance,2.33,mm
Baetidae,Distance,2.25,mm
Baetidae,Distance,2.07,mm
Baetidae,Distance,1.71,mm
Baetidae,Distance,1.88,mm
Baetidae,Distance,3.09,mm
Baetidae,Distance,1.54,mm
Baetidae,Distance,2.09,mm
Baetidae,Distance,2.56,mm
Baetidae,Distance,3.39,mm
Baetidae,Distance,2.3,mm
Baetidae,Distance,1.73,mm
Baetidae,Distance,3.41,mm
Baetidae,Distance,3.81,mm
,Distance,3.65,in
