Label,Type,Value,Unit
Ephemerellidae,Perimeter,3.95,mm
Ephemerellidae,Distance,3.18,mm
Ephemerellidae,Perimeter,3.04,mm
Ephemerellidae,Perimeter,3.66,mm
Ephemerellidae,Distance,2.11,mm
Ephemerellidae,Perimeter,4.92,mm
Ephemerellidae,Distance,3.32,mm
Ephemerellidae,Distance,3.8,mm
Ephemerellidae,Perimeter,3.34,mm
Ephemerellidae,Perimeter,4.19,mm
Ephemerellidae,Perimeter,2.72,mm
Ephemerellidae,Distance,3.61,mm
Ephemerellidae,Perimeter,3.96,mm
Ephemerellidae,Perimeter,3.6,mm
Ephemerellidae,Distance,4.14,mm
Ephemerellidae,Perimeter,3.97,mm
Ephemerellidae,Distance,4.69,mm
Ephemerellidae,Distance,4.21,mm
Ephemerellidae,Distance,3.37,mm
Ephemerellidae,Distance,3.28,mm
Ephemerellidae,Distance,3.18,mm
Ephemerellidae,Distance,4.05,mm
Ephemerellidae,Distance,3,mm
Ephemerellidae,Distance,4.31,mm
Ephemerellidae,Perimeter,4.84,mm
Ephemerellidae,Perimeter,3.77,mm
Ephemerellidae,Perimeter,2.97,mm
Ephemerellidae,Perimeter,4.42,mm
Ephemerellidae,Perimeter,1.95,mm
Ephemerellidae,Distance,3.9,mm
Ephemerellidae,Perimeter,3.91,mm
Ephemerellidae,Perimeter,2.6,mm
Ephemerellidae,Distance,4.1,mm
Ephemerellidae,Perimeter,3.46,mm
Ephemerellidae,Distance,3.52,mm
Ephemerellidae,Distance,4.57,mm
Ephemerellidae,Perimeter,3.56,mm
Ephemerellidae,Distance,4.91,mm
,Distance,35.41,in
