Label,Type,Value,Unit
Chloroperlidae,Perimeter,2.63,mm
Chloroperlidae,Perimeter,3.08,mm
Chloroperlidae,Perimeter,2.26,mm
Chloroperlidae,Perimeter,1.56,mm
Chloroperlidae,Perimeter,2.26,mm
Chloroperlidae,Perimeter,2.39,mm
Chloroperlidae,Perimeter,2.99,mm
Chloroperlidae,Perimeter,2.61,mm
Chloroperlidae,Perimeter,4.01,mm
Chloroperlidae,Distance,0.88,mm
Chloroperlidae,Perimeter,2.98,mm
Chloroperlidae,Perimeter,3.53,mm
Rhyacophilidae,Perimeter,11,mm
Rhyacophilidae,Perimeter,14.5,mm
Rhyacophilidae,Perimeter,17,mm
Rhyacophilidae,Perimeter,15.5,mm

