Label,Type,Value,Unit
Brachycentridae,Perimeter,2.12,mm
Brachycentridae,Perimeter,2.89,mm
Brachycentridae,Perimeter,2.52,mm
Brachycentridae,Perimeter,1.94,mm
Brachycentridae,Perimeter,2.06,mm
Brachycentridae,Perimeter,1.8,mm
Brachycentridae,Distance,1.31,mm
Brachycentridae,Perimeter,2.23,mm
Brachycentridae,Perimeter,1.84,mm
Brachycentridae,Perimeter,1.72,mm
Brachycentridae,Perimeter,2.32,mm
Brachycentridae,Perimeter,3.19,mm
Brachycentridae,Distance,1.42,mm
Brachycentridae,Distance,1.61,mm
Brachycentridae,Perimeter,2.46,mm
Brachycentridae,Perimeter,1.84,mm


